"";"V1"
"454";"Cd4"
"455";"Cd40"
"456";"Cd48"
"457";"Cd52"
"458";"Cd53"
"459";"Cd55"
"460";"Cd59a"
"461";"Cd59b"
"462";"Cd5l"
"463";"Cd6"
"464";"Cd63"
"465";"Cd68"
"466";"Cd69"
"467";"Cd7"
"468";"Cd72"
"469";"Cd74"
"470";"Cd79a"
"471";"Cd79b"
"472";"Cd82"
"473";"Cd83"
"474";"Cd86"
"475";"Cd8a"
"476";"Cd8b1"
"477";"Cd9"
"478";"Cd93"
"479";"Cdh1"
"480";"Cdk2ap1"
"481";"Cdk4"
"482";"Cdk5rap1"
"483";"Cdk5rap2"
"484";"Cdk6"
"485";"Cdkn1a"
"486";"Cdkn1c"
"487";"Cdkn2c"
"488";"Cdkn2d"
"489";"Cdkn3"
"490";"Cdpf1"
"491";"Cdr2"
"492";"Cdt1"
"493";"Cdv3"
"494";"Ceacam10"
"495";"Cebpa"
"496";"Cebpb"
"497";"Cebpe"
"498";"Cecr2"
"499";"Cela1"
"500";"Cenpc1"
"501";"Cenph"
"502";"Cenpk"
"503";"Cenpl"
"504";"Cenpm"
"505";"Cenpn"
"506";"Cenpp"
"507";"Cenpq"
"508";"Cenpu"
"509";"Cenpv"
"510";"Cenpw"
"511";"Cep128"
"512";"Cep164"
"513";"Cep295"
"514";"Cep55"
"515";"Cep57"
"516";"Cep70"
"517";"Cep72"
"518";"Cep89"
"519";"Ces1d"
"520";"Ces2g"
"521";"Cetn4"
"522";"Cfap57"
"523";"Cfh"
"524";"Cfp"
"525";"Chac2"
"526";"Chaf1a"
"527";"Chchd10"
"528";"Chchd2"
"529";"Chchd3"
"530";"Chchd4"
"531";"Chchd6"
"532";"Chd3"
"533";"Chdh"
"534";"Chek1"
"535";"Chek2"
"536";"Chil1"
"537";"Chil3"
"538";"Chil5"
"539";"Chit1"
"540";"Chpf"
"541";"Chst1"
"542";"Chst10"
"543";"Chst13"
"544";"Chst3"
"545";"Chtf18"
"546";"Cinp"
"547";"Cisd1"
"548";"Cisd3"
"549";"Cit"
"550";"Cited2"
"551";"Cited4"
"552";"Ckap4"
"553";"Ckb"
"554";"Ckm"
"555";"Clasp1"
"556";"Clcn3"
"557";"Clcn7"
"558";"Cldn1"
"559";"Cldn10"
"560";"Cldn13"
"561";"Cldn15"
"562";"Clec10a"
"563";"Clec11a"
"564";"Clec12a"
"565";"Clec1b"
"566";"Clec2i"
"567";"Clec4a1"
"568";"Clec4a2"
"569";"Clec4a3"
"570";"Clec4b1"
"571";"Clec4b2"
"572";"Clec4d"
"573";"Clec4e"
"574";"Clec4n"
"575";"Clec5a"
"576";"Clec9a"
"577";"Clic4"
"578";"Clint1"
"579";"Clpp"
"580";"Clptm1l"
"581";"Clstn1"
"582";"Clstn3"
"583";"Cltb"
"584";"Cltc"
"585";"Clu"
"586";"Cluh"
"587";"Clybl"
"588";"Cmah"
"589";"Cmc2"
"590";"Cmpk2"
"591";"Cmtm3"
"592";"Cmtm7"
"593";"Cnn2"
"594";"Cnn3"
"595";"Cnnm2"
"596";"Cnot9"
"597";"Cnp"
"598";"Cnpy4"
"599";"Cntd1"
"600";"Cntrl"
"601";"Coa5"
"602";"Col1a2"
"603";"Col23a1"
"604";"Col27a1"
"605";"Col5a1"
"606";"Colq"
"607";"Comt"
"608";"Comtd1"
"609";"Coprs"
"610";"Coq10a"
"611";"Coq2"
"612";"Coq6"
"613";"Coq7"
"614";"Coq9"
"615";"Coro2a"
"616";"Cox11"
"617";"Cox17"
"618";"Cox18"
"619";"Cox20"
"620";"Cox4i1"
"621";"Cox4i2"
"622";"Cox5a"
"623";"Cox5b"
"624";"Cox6a1"
"625";"Cox6a2"
"626";"Cox6b1"
"627";"Cox6b2"
"628";"Cox7a2"
"629";"Cox7b"
"630";"Cox7c"
"631";"Cox8a"
"632";"Cpa3"
"633";"Cplx2"
"634";"Cpm"
"635";"Cpne3"
"636";"Cpox"
"637";"Creg1"
"638";"Creld2"
"639";"Crip1"
"640";"Crip2"
"641";"Crispld2"
"642";"Crls1"
"643";"Crtap"
"644";"Cryl1"
"645";"Cs"
"646";"Csf1"
"647";"Csf1r"
"648";"Csf2rb"
"649";"Csf2rb2"
"650";"Csf3r"
"651";"Csnk2b"
"652";"Cspp1"
"653";"Csrp2"
"654";"Csrp3"
"655";"Cst3"
"656";"Cst7"
"657";"Cstb"
"658";"Ctla2a"
"659";"Ctla2b"
"660";"Ctps"
"661";"Ctr9"
"662";"Ctsa"
"663";"Ctsb"
"664";"Ctsc"
"665";"Ctsd"
"666";"Ctse"
"667";"Ctsg"
