LINE 1346: 2021-01-21 16:57:15,369 [DEBUG   ] findfont: score(<Font 'Noto Sans Osmanya' (NotoSansOsmanya-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,369 [DEBUG   ] findfont: score(<Font 'Source Code Pro' (SourceCodePro-BoldIt.ttf) italic normal 700 normal>) = 11.05
LINE 1346: 2021-01-21 16:57:15,369 [DEBUG   ] findfont: score(<Font 'Source Code Pro' (SourceCodePro-ExtraLightIt.ttf) italic normal 200 normal>) = 11.525
LINE 1346: 2021-01-21 16:57:15,369 [DEBUG   ] findfont: score(<Font 'Noto Sans Oriya' (NotoSansOriya.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,369 [DEBUG   ] findfont: score(<Font 'Apple Braille' (Apple Braille Outline 6 Dot.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,369 [DEBUG   ] findfont: score(<Font 'Gill Sans' (GillSans.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,369 [DEBUG   ] findfont: score(<Font 'Arial Hebrew' (ArialHB.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,369 [DEBUG   ] findfont: score(<Font 'Diwan Kufi' (Diwan Kufi.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,369 [DEBUG   ] findfont: score(<Font 'Gurmukhi MT' (Gurmukhi.ttf) normal normal 500 normal>) = 10.24
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBol.otf) normal normal 700 normal>) = 10.05
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Telugu Sangam MN' (Telugu Sangam MN.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font '.SF Compact Display' (SFCompactDisplay.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'InaiMathi' (InaiMathi-MN.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Arial Narrow' (Arial Narrow.ttf) normal normal 400 condensed>) = 10.535
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Kannada Sangam MN' (Kannada Sangam MN.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Noto Sans PhagsPa' (NotoSansPhagsPa-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Telugu MN' (Telugu MN.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Noto Sans Myanmar' (NotoSansMyanmar.ttc) normal normal 900 normal>) = 10.24
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Noto Sans Brahmi' (NotoSansBrahmi-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Bodoni Ornaments' (Bodoni Ornaments.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Noto Sans Cuneiform' (NotoSansCuneiform-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Sinhala MN' (Sinhala MN.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'STIXSizeFiveSym' (STIXSizFiveSymReg.otf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Waseem' (Waseem.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Noto Sans Ol Chiki' (NotoSansOlChiki-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Hiragino Sans' (ヒラギノ角ゴシック W4.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Luminari' (Luminari.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Source Code Pro' (SourceCodePro-ExtraLight.ttf) normal normal 200 normal>) = 10.525
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Inconsolata' (Inconsolata-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font '.Keyboard' (Keyboard.ttf) normal normal 100 normal>) = 10.62
LINE 1346: 2021-01-21 16:57:15,370 [DEBUG   ] findfont: score(<Font 'Noto Sans Linear B' (NotoSansLinearB-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'Verdana' (Verdana Italic.ttf) italic normal 400 normal>) = 11.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font '.SF Compact Text' (SFCompactTextItalic.ttf) italic normal 400 normal>) = 11.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'Noto Sans Gothic' (NotoSansGothic-Regular.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'Shree Devanagari 714' (Shree714.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'Noto Sans Old Italic' (NotoSansOldItalic-Regular.ttf) italic normal 400 normal>) = 11.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'Farisi' (Farisi.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'Ubuntu' (Ubuntu-MI.ttf) italic normal 500 normal>) = 11.24
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'Arial Unicode MS' (Arial Unicode.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'American Typewriter' (AmericanTypewriter.ttc) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'Hiragino Sans' (ヒラギノ角ゴシック W9.ttc) normal normal 900 normal>) = 10.24
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'AppleMyungjo' (AppleMyungjo.ttf) normal normal 400 normal>) = 10.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'Georgia' (Georgia Italic.ttf) italic normal 400 normal>) = 11.335
LINE 1346: 2021-01-21 16:57:15,371 [DEBUG   ] findfont: score(<Font 'PT Mono' (PTMono.ttc) normal normal 700 normal>) = 10.05
